FECHA_CORTE;UBIGEO;ANIO;DEPARTAMENTO;PROVINCIA;DISTRITO;REGION_NATURAL;TIPO_MUNICIPALIDAD;POB_TOTAL_INEI;POB_URBANA_INEI;POB_RURAL_INEI;CLASIFICACION_MUNICIPAL_MEF;DISPOSICION_FINAL_ADECUADA;TIPO_SITIO_DISPOSICION_FINAL_ADECUADA;NOMBRE_SITIO_DISPOSICION_FINAL_ADECUADA;TIPO_ADMINISTRADOR_SITIO_DISPOSICION_FINAL_ADECUADA;COBERTURA_DISPOSICION_FINAL_ADECUADA;RESIDUOS_MUNICIPALES_DISPUESTOS
20240410;10101;2022;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;SELVA;PROVINCIAL;40274;39322;952;A;0;;;;0;0
20240410;10102;2022;AMAZONAS;CHACHAPOYAS;ASUNCION;SELVA;DISTRITAL;276;132;144;F;0;;;;0;0
20240410;10103;2022;AMAZONAS;CHACHAPOYAS;BALSAS;SIERRA;DISTRITAL;1158;281;877;G;0;;;;0;0
20240410;10104;2022;AMAZONAS;CHACHAPOYAS;CHETO;SIERRA;DISTRITAL;707;444;263;F;0;;;;0;0
20240410;10105;2022;AMAZONAS;CHACHAPOYAS;CHILIQUIN;SIERRA;DISTRITAL;575;148;427;G;0;;;;0;0
20240410;10106;2022;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;SIERRA;DISTRITAL;1910;443;1467;G;0;;;;0;0
20240410;10107;2022;AMAZONAS;CHACHAPOYAS;GRANADA;SELVA;DISTRITAL;543;164;379;F;0;;;;0;0
20240410;10108;2022;AMAZONAS;CHACHAPOYAS;HUANCAS;SIERRA;DISTRITAL;1500;1428;72;E;0;;;;0;0
20240410;10109;2022;AMAZONAS;CHACHAPOYAS;LA JALCA;SELVA;DISTRITAL;3697;1922;1775;F;548.25;RELLENO SANITARIO;R.S. MARISCAL CASTILLA-ALTO UTCUBAMBA;GOBIERNO LOCAL;1922;519.98
20240410;10110;2022;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;SELVA;DISTRITAL;3781;2672;1109;E;341.94;RELLENO SANITARIO;R.S. MARISCAL CASTILLA-ALTO UTCUBAMBA;GOBIERNO LOCAL;2672;345.5
